Held,Kategorie,Talent,Eigenschaft 1,Eigenschaft 2,Eigenschaft 3,Modifikator,Erfolg,TaP/ZfP,TaW/ZfW,Eigenschaftswert 1,Eigenschaftswert 2,Eigenschaftswert 3
Bargaan Treuwall,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,0,-4,5,13,15,11
Bargaan Treuwall,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,5,5,13,15,11
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,10,10,14,17,11
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-9,6,14,12,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,11,14,14,17,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,15,16,13,16,13
Akira Masamune,Wissen,Götter/Kulte,KL,KL,IN,0,1,5,8,14,14,16
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,10,14,16,16
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,12,13,15,15
Akira Masamune,Wissen,Mechanik,KL,KL,FF,0,0,-4,4,14,14,13
Akira Masamune,Natur,Fallenstellen,KL,FF,KK,0,1,7,7,14,13,16
Bargaan Treuwall,Körper,Schleichen,MU,IN,GE,0,1,0,8,15,15,15
Akira Masamune,Körper,Schleichen,MU,IN,GE,0,1,10,10,13,16,14
Akira Masamune,Körper,Klettern,MU,GE,KK,0,0,-3,5,13,14,16
Bargaan Treuwall,Körper,Schleichen,MU,IN,GE,0,1,8,8,15,15,15
Akira Masamune,Körper,Klettern,MU,GE,KK,3,1,0,5,13,14,16
Bargaan Treuwall,Körper,Klettern,MU,GE,KK,0,1,1,5,15,15,16
Akira Masamune,Körper,Sich verstecken,MU,IN,KK,0,1,8,8,13,16,16
Bargaan Treuwall,Körper,Sich verstecken,MU,IN,KK,0,1,5,5,15,15,16
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,4,1,3,7,15,15,16
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,9,10,13,13,16
Akira Masamune,Gesellschaft,Gassenwissen,KL,IN,CH,0,1,6,10,14,16,13
Akira Masamune,Gesellschaft,Etikette,KL,IN,CH,0,1,10,10,14,16,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,12,14,14,16,13
Bargaan Treuwall,Gesellschaft,Überreden,MU,IN,CH,0,1,13,16,13,16,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,13,14,14,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,12,16,13,16,13
Akira Masamune,Gesellschaft,Gassenwissen,KL,IN,CH,0,1,5,10,14,16,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,14,14,14,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,14,1,2,16,13,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,7,16,13,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,3,1,7,16,13,16,13
Hanzo Shimada,Körper,Taschendiebstahl,MU,IN,FF,7,1,1,10,14,17,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,8,1,6,14,14,17,17
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,17,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,14,14,14,17,17
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,14,14,14,17,17
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,16,0,-8,14,14,17,17
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,0,-1,6,12,13,13
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,6,15,14,17
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,0,5,12,13,10
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,1,1,4,15,13,10
Hanzo Shimada,Wissen,Rechtskunde,KL,KL,IN,0,1,10,11,12,12,13
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,5,8,14,16,16
Akira Masamune,Wissen,Tierkunde,MU,KL,IN,0,1,0,1,13,14,16
Bargaan Treuwall,Wissen,Tierkunde,MU,KL,IN,0,1,0,3,15,13,15
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,14,14,14,16,13
Akira Masamune,Handwerk,Lederarbeiten,KL,FF,FF,0,1,4,4,14,13,13
Playboy51,Gesellschaft,Überreden,MU,IN,CH,-11,1,7,7,11,15,14
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,16,16
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,16,16
Akira Masamune,Handwerk,Heilkunde Gift,MU,KL,IN,0,0,-4,2,13,14,16
Playboy51,Körper,Zechen,IN,KO,KK,0,0,-2,-2,15,13,12
Playboy51,Körper,Zechen,IN,KO,KK,2,0,-5,-2,15,13,12
Akira Masamune,Körper,Sich verstecken,MU,IN,KK,0,1,8,8,13,16,16
Akira Masamune,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,2,2,14,13,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,16,16,13,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,15,16,13,16,13
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,11,12,13,15,15
Akira Masamune,Gesellschaft,Etikette,KL,IN,CH,10,1,0,10,14,16,13
Akira Masamune,Gesellschaft,Gassenwissen,KL,IN,CH,0,1,10,10,14,16,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,14,14,14,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,10,16,13,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,18,22,16,16,16
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,-2,1,16,16,13,16,13
Akira Masamune,Handwerk,Handel,KL,IN,CH,0,1,12,12,14,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,2,1,10,16,13,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,2,1,11,16,13,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,2,1,10,16,13,16,13
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,16,16
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,2,1,14,16,13,16,13
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,3,8,14,16,16
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,2,1,14,16,13,16,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,8,14,14,16,13
Akira Masamune,Handwerk,Grobschmied,FL,KO,KK,0,1,15,18,13,13,16
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,4,8,14,16,16
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,10,1,0,16,13,16,13
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,4,9,15,15,15
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,4,9,15,15,15
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,9,9,15,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,13,14,14,17,17
Playboy51,Körper,Selbstbeherrschung,MU,KO,KK,0,1,0,7,11,13,12
Playboy51,Körper,Schleichen,MU,IN,GE,0,1,13,13,14,17,14
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,3,1,7,10,13,13,16
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,16,16
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,6,0,-2,7,15,15,16
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,6,1,1,7,15,15,16
Bargaan Treuwall,Körper,Sich verstecken,MU,IN,KK,0,1,9,11,14,17,12
Bargaan Treuwall,Körper,Stimmenimitieren,KL,IN,CH,0,1,4,7,14,17,11
Bargaan Treuwall,Wissen,Tierkunde,MU,KL,IN,0,1,3,11,14,14,17
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,0,12,13,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,11,12,13,15,15
Akira Masamune,Körper,Schleichen,MU,IN,GE,0,1,8,10,13,16,14
Akira Masamune,Natur,Fallenstellen,KL,FF,KK,0,0,-2,11,14,13,12
Akira Masamune,Natur,Fallenstellen,KL,FF,KK,3,1,3,11,14,13,12
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,-5,1,12,12,12,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,5,1,7,12,12,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,17,17
Playboy51,Körper,Schleichen,MU,IN,GE,0,1,10,13,14,17,14
Bargaan Treuwall,Gesellschaft,Überreden,MU,IN,CH,0,0,-2,5,15,15,11
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,13,0,-1,16,15,15,15
Playboy51,Körper,Selbstbeherrschung,MU,KO,KK,5,1,1,9,11,13,12
Playboy51,Körper,Selbstbeherrschung,MU,KO,KK,5,0,-7,9,11,13,12
Akira Masamune,Körper,Zechen,IN,KO,KK,0,1,6,6,16,13,16
Bargaan Treuwall,Körper,Zechen,IN,KO,KK,0,1,6,6,15,15,16
Bargaan Treuwall,Wissen,Kriegskunst,MU,KL,CH,0,1,1,4,15,13,11
Bargaan Treuwall,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,5,5,13,15,11
Bargaan Treuwall,Wissen,Sagen/Legenden,KL,IN,CH,0,1,0,5,13,15,11
Bargaan Treuwall,Wissen,Sagen/Legenden,KL,IN,CH,0,1,5,5,13,15,11
Bargaan Treuwall,Handwerk,Bootefahren,GE,KO,FF,0,1,9,10,15,15,16
Akira Masamune,Wissen,Sagen/Legenden,KL,IN,CH,0,1,10,10,14,16,13
Akira Masamune,Wissen,Götter/Kulte,KL,KL,IN,0,1,6,8,14,14,16
Playboy51,Wissen,Sagen/Legenden,KL,IN,CH,0,0,-2,5,13,15,11
Bargaan Treuwall,Wissen,Sagen/Legenden,KL,IN,CH,0,1,5,5,13,15,11
Bargaan Treuwall,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,5,5,13,15,11
Bargaan Treuwall,Gesellschaft,Überreden,MU,IN,CH,1,1,4,5,15,15,11
Bargaan Treuwall,Wissen,Geschichtswissen,KL,KL,IN,0,1,2,2,13,13,15
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,9,9,15,15,15
Bargaan Treuwall,Wissen,Kriegskunst,MU,KL,CH,0,0,-3,10,15,13,11
Bargaan Treuwall,Wissen,Kriegskunst,MU,KL,CH,0,1,9,10,15,13,11
Bargaan Treuwall,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,2,5,13,15,11
Bargaan Treuwall,Gesellschaft,Überreden,MU,IN,CH,4,0,-12,5,15,15,11
Bargaan Treuwall,Gesellschaft,Überreden,MU,IN,CH,0,1,4,5,15,15,11
Bargaan Treuwall,Gesellschaft,Überreden,MU,IN,CH,-3,1,4,5,15,15,11
Bargaan Treuwall,Wissen,Kriegskunst,MU,KL,CH,0,1,6,10,15,13,11
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,10,12,15,15
Playboy51,Körper,Schleichen,MU,IN,GE,2,1,5,7,11,15,16
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,-5,1,10,10,12,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,10,12,15,15
Playboy51,Körper,Schleichen,MU,IN,GE,2,1,4,7,11,15,16
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,12,15,15
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,6,9,15,15,15
Playboy51,Natur,Wildnisleben,IN,GE,KO,0,1,9,10,15,16,13
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,-7,1,10,10,12,15,15
Playboy51,Körper,Schleichen,MU,IN,GE,-1,1,7,7,11,15,16
Playboy51,Natur,Wildnisleben,IN,GE,KO,0,1,10,10,15,16,13
Bargaan Treuwall,Natur,Wettervorhersage,KL,IN,IN,0,0,-4,1,13,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,10,12,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,-7,1,10,10,12,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,10,12,15,15
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,9,9,15,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,-7,1,10,10,12,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,-7,1,10,12,13,15,15
Bargaan Treuwall,Natur,Orientierung,KL,IN,IN,0,1,3,9,13,15,15
Bargaan Treuwall,Wissen,Kriegskunst,MU,KL,CH,0,1,9,10,15,13,11
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,4,1,6,10,12,15,15
Bargaan Treuwall,Wissen,Kriegskunst,MU,KL,CH,0,1,7,10,15,13,11
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,12,13,15,12
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,0,1,9,10,14,17,17
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,0,0,-1,9,14,11,13
Playboy51,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,1,10,12,14,12
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,4,9,14,11,13
Playboy51,Handwerk,Heilkunde Wunden,KL,CH,FF,-2,1,8,10,12,14,12
Bargaan Treuwall,Natur,Wettervorhersage,KL,IN,IN,0,1,4,4,13,15,15
Hanzo Shimada,Natur,Wettervorhersage,KL,IN,IN,0,1,3,3,14,17,17
Playboy51,Körper,Selbstbeherrschung,MU,KO,KK,6,0,-14,7,11,13,12
Bargaan Treuwall,Gesellschaft,Überreden,MU,IN,CH,0,1,1,8,15,15,11
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,1,10,10,14,17,11
Hanzo Shimada,Wissen,Pflanzenkunde,KL,IN,FF,0,1,13,14,14,17,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,14,14,14,17,17
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,12,13,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,13,14,14,17,17
Playboy51,Wissen,Sagen/Legenden,KL,IN,CH,0,0,-3,4,12,15,14
Bargaan Treuwall,Wissen,Sagen/Legenden,KL,IN,CH,0,1,2,8,13,15,11
Bargaan Treuwall,Wissen,Geschichtswissen,KL,KL,IN,0,1,4,7,13,13,15
Bargaan Treuwall,Körper,Klettern,MU,GE,KK,7,0,-1,11,14,14,12
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,7,7,15,15,16
Hanzo Shimada,Körper,Taschendiebstahl,MU,IN,FF,0,1,4,10,14,17,13
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,11,1,0,10,14,17,17
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,14,0,-1,10,14,17,17
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,5,1,5,16,17,14,12
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,9,9,15,15,15
Playboy51,Natur,Wildnisleben,IN,GE,KO,0,1,4,10,15,16,13
Hanzo Shimada,Meta-Talent,Pirschjagd,MU,IN,GE,3,1,10,13,14,17,14
Hanzo Shimada,Meta-Talent,Pirschjagd,MU,IN,GE,5,1,8,13,14,17,14
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,0,8,14,13,12
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,12,1,4,16,17,14,12
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,7,1,1,9,15,15,15
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,3,1,6,11,14,17,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,10,0,-4,16,13,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,13,1,0,16,13,16,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,10,16,13,16,13
Akira Masamune,Handwerk,Grobschmied,FL,KO,KK,0,1,18,18,13,13,16
Akira Masamune,Wissen,Hüttenkunde,KL,IN,KO,0,1,7,7,14,16,13
Akira Masamune,Körper,Athletik,GE,KO,KK,0,1,5,10,14,13,16
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,16,16,13,16,13
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,10,14,14,16,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,11,14,16,16
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,10,10,13,13,16
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,3,8,14,16,16
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,14,14,14,16,13
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,10,1,5,16,17,14,12
Hanzo Shimada,Gesellschaft,Gassenwissen,KL,IN,CH,0,1,2,11,14,17,11
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,6,10,14,17,11
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,1,10,10,14,17,11
Hanzo Shimada,Wissen,Sagen/Legenden,KL,IN,CH,10,0,-22,2,14,17,11
Hanzo Shimada,Wissen,Magiekunde,KL,KL,IN,0,0,-3,5,12,12,15
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,-3,1,14,14,14,17,17
Playboy51,Natur,Fährtensuchen,KL,IN,IN,0,1,3,5,12,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,-5,1,10,10,12,15,15
Playboy51,Natur,Wildnisleben,IN,GE,KO,0,1,10,10,15,16,13
Playboy51,Meta-Talent,Nahrungsammeln,MU,IN,FF,0,1,9,9,11,15,12
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,6,9,15,15,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,16,16,17,14,12
Hanzo Shimada,Meta-Talent,Pirschjagd,MU,IN,GE,5,1,10,15,14,17,14
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,0,8,14,13,12
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,0,1,10,11,14,17,13
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,4,1,5,9,14,11,13
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,-3,1,22,23,14,17,13
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,-7,1,15,15,14,17,13
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,4,1,18,23,14,17,13
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,2,1,1,11,14,17,13
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,2,1,4,11,14,17,13
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,6,8,14,13,12
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,0,1,0,11,14,17,13
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,6,1,5,11,14,17,13
Hanzo Shimada,Gesellschaft,Gassenwissen,KL,IN,CH,0,1,4,11,14,17,11
Hanzo Shimada,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,10,10,14,17,11
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,1,10,10,14,17,11
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,0,1,12,16,17,14,12
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,2,1,6,13,14,17,14
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,0,1,14,14,14,17,17
Hanzo Shimada,Gesellschaft,Überreden,MU,IN,CH,0,1,10,10,14,17,11
Playboy51,Wissen,Magiekunde,KL,KL,IN,0,1,5,5,12,12,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,13,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,12,13,15,12
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,13,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,12,13,15,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,14,14,14,17,17
Playboy51,Wissen,Magiekunde,KL,KL,IN,0,1,2,8,12,12,15
Playboy51,Wissen,Pflanzenkunde,KL,IN,FF,0,1,10,10,12,15,12
Playboy51,Meta-Talent,Kräutersuchen,MU,IN,FF,0,1,3,10,11,15,12
Playboy51,Meta-Talent,Kräutersuchen,MU,IN,FF,0,1,10,15,11,15,12
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,16,16,17,14,12
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,10,10,12,14,12
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,7,9,14,11,13
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,16,16,17,14,12
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,-3,1,15,23,14,17,13
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,0,1,7,13,14,17,14
Hanzo Shimada,Körper,Sich verstecken,MU,IN,KK,0,1,11,11,14,17,12
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,1,10,10,14,12,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,14,14,14,17,17
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,8,0,-1,13,14,17,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,6,1,7,14,14,17,17
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,-5,1,7,10,12,15,15
Playboy51,Körper,Selbstbeherrschung,MU,KO,KK,0,1,6,7,11,13,12
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,12,13,15,12
Playboy51,Körper,Selbstbeherrschung,MU,KO,KK,0,1,7,7,15,14,15
Playboy51,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,10,10,12,14,12
Playboy51,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,10,10,12,14,12
Playboy51,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,10,10,12,14,12
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,1,8,14,13,12
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,-3,1,14,14,14,17,17
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,-3,1,19,23,14,17,13
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,-3,1,19,23,14,17,13
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,-3,1,23,23,14,17,13
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,2,1,5,11,14,17,13
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,0,1,9,11,14,17,13
Hanzo Shimada,Meta-Talent,Pirschjagd,MU,IN,GE,0,1,15,15,14,17,14
Hanzo Shimada,Meta-Talent,Pirschjagd,MU,IN,GE,0,1,5,15,14,17,14
Hanzo Shimada,Meta-Talent,Nahrungsammeln,MU,IN,FF,-3,1,15,15,14,17,13
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,16,16,17,14,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,11,14,14,17,17
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,13,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,1,10,12,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,-7,1,10,10,12,15,15
Playboy51,Wissen,Magiekunde,KL,KL,IN,0,1,8,8,12,12,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,14,14,17,13
Playboy51,Körper,Selbstbeherrschung,MU,KO,KK,10,0,-11,7,12,13,12
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,-3,1,16,16,17,14,12
Hanzo Shimada,Natur,Fährtensuchen,KL,IN,IN,-3,1,14,14,14,17,17
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,13,14,14,17,17
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-7,1,14,14,14,17,17
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,-4,1,6,10,12,15,12
Hanzo Shimada,Meta-Talent,Kräutersuchen,MU,IN,FF,-4,1,10,10,12,15,12
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,0,1,0,10,15,16,12
Playboy51,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,2,10,12,14,12
Playboy51,Handwerk,Heilkunde Wunden,KL,CH,FF,7,0,-4,10,12,14,12
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,9,9,15,15,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,12,15,15
Bargaan Treuwall,Wissen,Pflanzenkunde,KL,IN,FF,0,1,1,10,12,15,12
Playboy51,Handwerk,Kochen,KL,IN,FF,0,0,-3,0,12,15,12
Playboy51,Meta-Talent,Kräutersuchen,MU,IN,FF,8,0,-7,10,12,15,12
Playboy51,Meta-Talent,Kräutersuchen,MU,IN,FF,3,1,7,10,12,15,12
Playboy51,Gesellschaft,Überreden,MU,IN,CH,-10,1,5,5,12,15,14
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,12,15,15
Playboy51,Natur,Fährtensuchen,KL,IN,IN,0,1,2,5,12,15,15
Bargaan Treuwall,Natur,Wildnisleben,IN,GE,KO,0,1,9,9,15,15,15
Playboy51,Gaben,Gefahreninstinkt,KL,IN,IN,0,1,3,3,12,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,10,12,15,15
Kurtek,Natur,Fährtensuchen,KL,IN,IN,0,0,-9,0,8,8,8
Kurtek,Natur,Fährtensuchen,KL,IN,IN,0,1,0,0,10,13,13
Playboy51,Natur,Fährtensuchen,KL,IN,IN,0,1,0,5,12,15,15
Playboy51,Gaben,Gefahreninstinkt,KL,IN,IN,0,0,-1,3,10,13,13
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,7,10,13,13
Playboy51,Wissen,Kriegskunst,MU,KL,CH,0,1,4,4,16,10,11
Bargaan Treuwall,Wissen,Kriegskunst,MU,KL,CH,0,1,5,10,15,13,11
Bargaan Treuwall,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,7,7,10,11,11
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,13,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,12,15,15
Playboy51,Körper,Sinnesschärfe,KL,IN,IN,0,1,0,5,10,13,13
Playboy51,Meta-Talent,Pirschjagd,MU,IN,GE,-4,1,10,10,12,15,16
Bargaan Treuwall,Wissen,Kriegskunst,MU,KL,CH,0,1,8,10,15,13,11
